Gene ID	CI DESeq	CI NOISeq	CuffDiff	Limma	GeneSpring
ENSG00000000460	NA	NA	NA	NA	3.699174
ENSG00000000938	-7.762572497	NA	NA	-5.272019819	NA
ENSG00000000971	-6.169172014	NA	-5.83248	-5.212053656	NA
ENSG00000001561	-3.056147297	NA	NA	-3.228472995	NA
ENSG00000001617	-4.671234583	NA	-2.92461	-2.292965817	NA
ENSG00000002079	-3.603791446	NA	NA	NA	NA
ENSG00000002587	-5.254944605	NA	NA	-5.274992289	NA
ENSG00000002726	-5.165369451	NA	NA	NA	NA
ENSG00000002745	-4.365629506	NA	NA	NA	NA
ENSG00000002746	-6.568566327	NA	NA	NA	NA
ENSG00000002822	NA	NA	-2.4893	NA	NA
ENSG00000002933	NA	NA	NA	NA	-10.233298
ENSG00000003137	-6.815951612	NA	-4.08398	-3.619879076	NA
ENSG00000003147	NA	NA	-3.41462	-2.842484645	-7.172543
ENSG00000003393	NA	NA	NA	NA	2.6303232
ENSG00000003400	-4.282071827	NA	-5.13717	-4.795043296	NA
ENSG00000003436	NA	NA	-2.61921	NA	NA
ENSG00000004468	-4.523787529	NA	NA	-3.728390243	NA
ENSG00000004534	NA	NA	-3.51201	-3.363243236	NA
ENSG00000004700	NA	NA	NA	2.185728234	4.549564
ENSG00000004779	NA	NA	NA	NA	3.448214
ENSG00000004846	2.114535824	NA	2.50583	NA	NA
ENSG00000004848	-5.340905335	NA	NA	-4.411951554	NA
ENSG00000004866	NA	NA	-2.19807	NA	NA
ENSG00000004897	NA	NA	NA	2.11577038	4.3342137
ENSG00000004948	-5.837652332	NA	NA	NA	NA
ENSG00000004961	NA	NA	NA	NA	3.0813584
ENSG00000005022	NA	NA	NA	NA	3.9690053
ENSG00000005073	-2.831963866	NA	NA	NA	NA
ENSG00000005206	-2.129219236	NA	NA	NA	NA
ENSG00000005238	NA	NA	NA	NA	3.7005603
ENSG00000005302	NA	NA	NA	NA	2.607596
ENSG00000005339	NA	NA	NA	NA	2.3895826
ENSG00000005379	-6.904155581	NA	-4.99577	-4.279307387	NA
ENSG00000005700	NA	NA	NA	NA	3.0827096
ENSG00000005844	-8.471749575	NA	-8.39194	-7.794129709	NA
ENSG00000005889	NA	NA	NA	NA	2.7559772
ENSG00000005981	-8.466640238	NA	NA	NA	NA
ENSG00000006007	NA	NA	NA	NA	3.925825
ENSG00000006047	-3.269415859	NA	NA	NA	NA
ENSG00000006125	NA	NA	2.35555	2.512386286	NA
ENSG00000006128	6.960405477	NA	NA	NA	2.2951274
ENSG00000006210	-3.161213863	NA	NA	NA	NA
ENSG00000006283	-3.021349775	NA	NA	NA	NA
ENSG00000006534	NA	NA	-2.95639	NA	NA
ENSG00000006555	NA	NA	NA	NA	NA
ENSG00000006606	-3.713253409	NA	NA	NA	NA
ENSG00000006634	NA	NA	2.21582	2.479697358	5.6385784
ENSG00000006740	-3.143880419	NA	-5.00364	-4.85199788	NA
ENSG00000006747	-2.18370926	NA	NA	NA	NA
ENSG00000006837	NA	NA	-2.98642	NA	NA
ENSG00000007001	-2.699846811	NA	NA	NA	NA
ENSG00000007038	-5.124482771	NA	NA	-4.5777457	NA
ENSG00000007062	-2.828189706	NA	NA	NA	NA
ENSG00000007171	NA	NA	NA	NA	NA
ENSG00000007174	-4.032738211	NA	-5.88946	-5.570220405	NA
ENSG00000007202	NA	NA	NA	NA	3.1205752
ENSG00000007237	NA	NA	-2.31971	NA	NA
ENSG00000007255	-2.210911131	NA	NA	NA	NA
ENSG00000007312	NA	NA	2.80191	3.60936216	10.065174
ENSG00000007350	-4.782378226	NA	-3.26045	NA	NA
ENSG00000007402	-4.043190848	NA	NA	-3.488000551	NA
ENSG00000007516	NA	NA	NA	-3.148987287	NA
ENSG00000007952	NA	NA	NA	-5.135211761	NA
ENSG00000008018	NA	NA	NA	NA	2.8964422
ENSG00000008086	NA	NA	NA	NA	NA
ENSG00000008118	-6.300370765	NA	NA	-3.910667606	NA
ENSG00000008128	NA	NA	-3.54361	-3.362538002	NA
ENSG00000008311	NA	NA	NA	NA	2.6960628
ENSG00000008516	-3.122305576	NA	NA	NA	NA
ENSG00000008517	-6.801355164	-6.772154612	-6.21406	-5.618826783	NA
ENSG00000008735	-3.164100868	NA	-2.26962	NA	NA
ENSG00000009307	NA	NA	NA	NA	2.7398381
ENSG00000009335	NA	NA	NA	NA	3.9044166
ENSG00000009694	-4.191716185	NA	NA	NA	NA
